ensg	hgnc	chrom	obs_lof	exp_lof	prior_mean	post_mean	post_lower_95	post_upper_95
ENSG00000237524	HGNC:52387	chr2			0.00404886	0.00016746	6.05e-06	0.00060105
ENSG00000203734	HGNC:21118	chr6	65.0	53.27	0.00037173	0.00016814	7.05e-06	0.00062905
ENSG00000111271	HGNC:21597	chr12	51.0	59.356	0.00020872	0.00016871	1.005e-05	0.00060105
ENSG00000172828	HGNC:1865	chr16	21.0	26.395	0.00026451	0.0001711	5.05e-06	0.00068905
ENSG00000180999	HGNC:29591	chr1	8.0	8.9524	0.0005941	0.00017215	6.05e-06	0.00060005
ENSG00000163803	HGNC:30041	chr2	107.0	102.49	0.00029594	0.00017264	1.005e-05	0.00059205
ENSG00000178852	HGNC:26864	chr17	46.0	43.049	0.00045623	0.00017413	9.05e-06	0.00062805
ENSG00000104760	HGNC:3695	chr8	31.0	19.431	0.00032145	0.0001747	6.05e-06	0.00068405
ENSG00000066813	HGNC:30931	chr16	37.0	34.284	0.00027925	0.00017476	5.05e-06	0.00069205
ENSG00000162482	HGNC:390	chr1	24.0	15.463	0.00033106	0.00017543	5.05e-06	0.00071105
ENSG00000126838	HGNC:9750	chr12	64.0	80.804	0.00032242	0.00017636	8.05e-06	0.00065305
ENSG00000159337	HGNC:30038	chr15	28.0	41.84	0.0003283	0.00017653	6.05e-06	0.00068305
ENSG00000073605	HGNC:23690	chr17	13.0	19.621	0.00057305	0.0001772	3.05e-06	0.00058205
ENSG00000167701	HGNC:4552	chr8	26.0	22.157	0.00033382	0.00017752	7.05e-06	0.00066805
ENSG00000108242	HGNC:2620	chr10	16.0	18.476	0.00033181	0.0001779	6.05e-06	0.00071905
ENSG00000144671	HGNC:8495	chr3	21.0	23.997	0.00032339	0.00017936	9.05e-06	0.00066005
ENSG00000134538	HGNC:10959	chr12	32.0	31.744	0.0004133	0.00018103	5.05e-06	0.00072305
ENSG00000129437	HGNC:6362	chr19	12.0	12.303	0.00042147	0.00018364	5.05e-06	0.00073805
ENSG00000231924	HGNC:9514	chr19	33.0	14.597	0.00035723	0.00018394	5.05e-06	0.00074805
ENSG00000162391	HGNC:25032	chr1	24.0	22.562	0.0003392	0.00018403	5.05e-06	0.00074005
ENSG00000138109	HGNC:2623	chr10	16.0	17.324	0.00026618	0.00018518	4.05e-06	0.00077605
ENSG00000196611	HGNC:7155	chr11	25.0	22.869	0.00037381	0.00018528	7.05e-06	0.00070605
ENSG00000182156	HGNC:23764	chr17	19.0	14.986	0.00051298	0.000186	6.05e-06	0.00072405
ENSG00000131781	HGNC:3773	chr1	22.0	21.687	0.00026765	0.00018675	7.05e-06	0.00071705
ENSG00000168658	HGNC:28385	chr2	52.0	69.715	0.00044465	0.00018701	1.205e-05	0.00064605
ENSG00000163810	HGNC:11780	chr3	32.0	35.631	0.00039454	0.00018734	6.05e-06	0.00073105
ENSG00000125255	HGNC:10906	chr13	20.0	12.355	0.00036193	0.00018744	5.05e-06	0.00077305
ENSG00000036448	HGNC:7614	chr8	114.0	89.751	0.00045934	0.0001876	1.405e-05	0.00060505
ENSG00000187048	HGNC:2642	chr1	33.0	26.794	0.00038724	0.00018884	7.05e-06	0.00072205
ENSG00000184860	HGNC:29834	chr16	12.0	9.3763	0.00176874	0.00018982	1.205e-05	0.00058705
ENSG00000162365	HGNC:20575	chr1	37.0	25.075	0.00037606	0.00018982	6.05e-06	0.00074205
ENSG00000187527	HGNC:31789	chr3	72.0	68.041	0.00053782	0.00019046	1.405e-05	0.00062705
ENSG00000186204	HGNC:18857	chr19	26.0	26.239	0.00029314	0.00019053	6.05e-06	0.00076405
ENSG00000173818	HGNC:26640	chr17	15.0	17.037	0.00051105	0.00019062	1.305e-05	0.00064605
ENSG00000119943	HGNC:23517	chr10	26.0	30.945	0.00025803	0.00019073	7.05e-06	0.00074705
ENSG00000100652	HGNC:10905	chr14	18.0	8.8099	0.0003662	0.00019076	5.05e-06	0.00079005
ENSG00000142405	HGNC:22938	chr19	41.0	39.256	0.00041018	0.00019174	7.05e-06	0.00072605
ENSG00000137251	HGNC:14599	chr6	36.0	33.494	0.00030904	0.00019221	8.05e-06	0.00072305
ENSG00000100336	HGNC:14867	chr22	5.0	6.5687	0.00194972	0.00019246	5.05e-06	0.00067505
ENSG00000135773	HGNC:1486	chr1	37.0	42.698	0.00032969	0.00019428	8.05e-06	0.00072805
ENSG00000214021	HGNC:24483	chr3	31.0	34.119	0.00044389	0.00019434	1.805e-05	0.00061905
ENSG00000170054	HGNC:15995	chr14	17.0	12.231	0.00050734	0.00019457	6.05e-06	0.00076605
ENSG00000157653	HGNC:23570	chr9	20.0	27.536	0.00110996	0.00019482	8.05e-06	0.00067205
ENSG00000187609	HGNC:26023	chr9	30.0	40.713	0.00029393	0.00019525	7.05e-06	0.00076005
ENSG00000164308	HGNC:29499	chr5	45.0	48.461	0.00035863	0.00019653	8.05e-06	0.00074105
ENSG00000172940	HGNC:8494	chr3	21.0	21.976	0.00031488	0.00019673	6.05e-06	0.00078005
ENSG00000137877	HGNC:15680	chr15	186.0	197.71	0.00132113	0.0001969	1.205e-05	0.00063405
ENSG00000138115	HGNC:2622	chr10	28.0	19.227	0.00035125	0.00019761	6.05e-06	0.00079405
ENSG00000106526	HGNC:37282	chr7	9.0	11.407	0.00108771	0.0001978	1.005e-05	0.00069505
ENSG00000168060	HGNC:23536	chr11	34.0	37.601	0.00029886	0.0001981	6.05e-06	0.00078905
ENSG00000187715	HGNC:25731	chr3	23.0	26.427	0.00037835	0.00019826	6.05e-06	0.00078205
ENSG00000156413	HGNC:4017	chr19			0.00057867	0.00019845	5.05e-06	0.00081905
ENSG00000188818	HGNC:19158	chr5	22.0	20.355	0.00034058	0.00019865	8.05e-06	0.00075305
ENSG00000088827	HGNC:11127	chr20	69.0	68.529	0.0004635	0.00019952	1.205e-05	0.00067605
ENSG00000223510	HGNC:14395	chr17	8.0	6.2239	0.00200795	0.0001996	6.05e-06	0.00076205
ENSG00000166743	HGNC:18049	chr16	27.0	34.678	0.0002691	0.00020035	5.05e-06	0.00081905
ENSG00000135226	HGNC:13479	chr4	24.0	19.788	0.00038365	0.00020121	5.05e-06	0.00082705
ENSG00000179869	HGNC:14638	chr7	183.0	199.93	0.00065192	0.00020129	1.505e-05	0.00063805
ENSG00000165841	HGNC:2621	chr10	25.0	17.621	0.00040494	0.00020274	6.05e-06	0.00082505
ENSG00000143554	HGNC:10997	chr1	31.0	28.271	0.00029491	0.00020276	1.105e-05	0.00073805
ENSG00000138792	HGNC:3355	chr4	46.0	51.473	0.00052189	0.00020289	1.205e-05	0.00070305
ENSG00000161664	HGNC:19768	chr17	23.0	20.471	0.00047249	0.0002029	6.05e-06	0.00080005
ENSG00000112539	HGNC:21233	chr6	27.0	22.17	0.00043048	0.0002033	6.05e-06	0.00079805
ENSG00000187134	HGNC:384	chr10	21.0	18.973	0.00041179	0.00020369	6.05e-06	0.00080505
ENSG00000124564	HGNC:10931	chr6	31.0	28.197	0.00035368	0.00020374	6.05e-06	0.00081305
ENSG00000243708	HGNC:9036	chr15	59.0	55.365	0.00038493	0.00020381	6.05e-06	0.00080405
ENSG00000131969	HGNC:19837	chr14	21.0	19.055	0.00040367	0.00020396	7.05e-06	0.00080205
ENSG00000124215	HGNC:15902	chr20	40.0	42.082	0.00032715	0.00020431	7.05e-06	0.00080505
ENSG00000197446	HGNC:2632	chr19	15.0	18.589	0.00030924	0.00020437	5.05e-06	0.00084505
ENSG00000118113	HGNC:7175	chr11	32.0	24.117	0.00040237	0.0002051	6.05e-06	0.00082705
ENSG00000268500	HGNC:10874	chr19	12.0	19.812	0.00039996	0.0002056	7.05e-06	0.00082205
ENSG00000106648	HGNC:21725	chr7	22.0	19.12	0.00042191	0.00020589	7.05e-06	0.00080805
ENSG00000237353	HGNC:35427	chr11	4.0	3.8133	0.00099885	0.00020641	2.05e-06	0.00082305
ENSG00000161640	HGNC:15622	chr19	30.0	26.047	0.00045865	0.00020649	7.05e-06	0.00080305
ENSG00000175711	HGNC:21727	chr17	36.0	26.1	0.0003219	0.00020793	9.05e-06	0.00077305
ENSG00000132958	HGNC:17299	chr13	24.0	35.706	0.00031522	0.0002082	5.05e-06	0.00087105
ENSG00000149328	HGNC:25129	chr11	32.0	38.379	0.00024909	0.00020832	8.05e-06	0.00081505
ENSG00000172497	HGNC:24436	chr5	25.0	32.131	0.00029558	0.0002093	7.05e-06	0.00082205
ENSG00000146205	HGNC:31677	chr2	60.0	54.265	0.00032942	0.00020957	7.05e-06	0.00082605
ENSG00000165953	HGNC:18359	chr14	10.0	11.229	0.00045164	0.0002096	5.05e-06	0.00086805
ENSG00000214491	HGNC:40047	chr22	15.0	21.727	0.00027139	0.00020963	5.05e-06	0.00087005
ENSG00000143226	HGNC:3616	chr1	10.0	12.583	0.00238522	0.00021004	1.205e-05	0.00062205
ENSG00000124003	HGNC:18210	chr2	15.0	14.849	0.00033857	0.00021105	5.05e-06	0.00088505
ENSG00000005187	HGNC:10522	chr16	26.0	34.184	0.00042025	0.00021107	1.105e-05	0.00076505
ENSG00000186190	HGNC:16178	chr20	21.0	24.167	0.00051066	0.00021109	7.05e-06	0.00081805
ENSG00000184571	HGNC:18443	chr22	49.0	50.811	0.00053148	0.00021109	9.05e-06	0.00076605
ENSG00000133943	HGNC:20498	chr14	31.0	27.0	0.00033634	0.00021138	7.05e-06	0.00084305
ENSG00000169876	HGNC:16800	chr7	85.0	68.48	0.00113369	0.00021143	9.05e-06	0.00074505
ENSG00000214013	HGNC:4139	chr15	54.0	56.882	0.00032073	0.00021289	1.505e-05	0.00072005
ENSG00000134389	HGNC:24668	chr1	41.0	28.546	0.00030975	0.00021346	6.05e-06	0.00087505
ENSG00000175287	HGNC:23396	chr9	19.0	18.888	0.00029151	0.00021413	7.05e-06	0.00084705
ENSG00000174292	HGNC:11940	chr17	16.0	25.698	0.00084234	0.00021419	1.205e-05	0.00071905
ENSG00000102854	HGNC:7371	chr16	35.0	31.429	0.00043569	0.00021445	7.05e-06	0.00083005
ENSG00000173467	HGNC:24167	chr7	22.0	11.0	0.00050296	0.0002149	5.05e-06	0.00089905
ENSG00000144504	HGNC:20987	chr2	38.0	41.042	0.00031988	0.00021552	9.05e-06	0.00081305
ENSG00000109625	HGNC:2333	chr4	43.0	25.314	0.00047351	0.00021582	1.005e-05	0.00078505
ENSG00000166634	HGNC:14220	chr18	30.0	17.327	0.00043011	0.00021635	6.05e-06	0.00088005
ENSG00000084734	HGNC:4196	chr2	31.0	36.415	0.00037084	0.0002183	8.05e-06	0.00083205
ENSG00000163060	HGNC:31012	chr2	21.0	19.408	0.00044602	0.00021902	7.05e-06	0.00085205
ENSG00000257335	HGNC:7043	chr7	72.0	104.25	0.00027648	0.00021915	1.305e-05	0.00075505
ENSG00000197241	HGNC:13445	chr1	28.0	22.887	0.00041482	0.00021957	7.05e-06	0.00085905
ENSG00000007933	HGNC:3771	chr1	22.0	19.774	0.00029356	0.00021969	6.05e-06	0.00088605
ENSG00000243137	HGNC:9521	chr19	35.0	21.326	0.00040141	0.00021983	5.05e-06	0.00091305
ENSG00000140465	HGNC:2595	chr15	23.0	17.908	0.00042514	0.00022052	7.05e-06	0.00086405
ENSG00000130997	HGNC:18870	chr4	57.0	49.935	0.00036435	0.00022106	1.205e-05	0.00079205
ENSG00000148377	HGNC:23487	chr10	11.0	7.1391	0.00036625	0.00022143	5.05e-06	0.00092105
ENSG00000181240	HGNC:28533	chr19	17.0	16.699	0.00037875	0.00022157	6.05e-06	0.00091905
ENSG00000163751	HGNC:2298	chr3	25.0	26.478	0.00037731	0.00022169	7.05e-06	0.00086605
ENSG00000132746	HGNC:411	chr11	18.0	15.958	0.00038919	0.00022198	6.05e-06	0.00090805
ENSG00000162949	HGNC:16663	chr2	37.0	43.234	0.00033481	0.00022207	7.05e-06	0.00087405
ENSG00000154269	HGNC:3358	chr6	41.0	51.898	0.00034192	0.00022269	1.105e-05	0.00080805
ENSG00000170209	HGNC:21027	chr11	20.0	25.012	0.00035129	0.00022302	6.05e-06	0.00092905
ENSG00000149968	HGNC:7173	chr11	22.0	22.173	0.00036041	0.00022345	7.05e-06	0.00088405
ENSG00000115267	HGNC:18873	chr2	59.0	47.326	0.00082426	0.0002238	1.705e-05	0.00072305
ENSG00000196139	HGNC:386	chr10	30.0	20.959	0.00044896	0.00022384	6.05e-06	0.00090505
ENSG00000198569	HGNC:20305	chr9	21.0	22.091	0.00038574	0.00022402	6.05e-06	0.00090405
ENSG00000139410	HGNC:30404	chr12	15.0	12.119	0.00040193	0.00022406	6.05e-06	0.00093405
ENSG00000177943	HGNC:24083	chr9	74.0	67.698	0.00054123	0.00022524	1.505e-05	0.00075005
ENSG00000111700	HGNC:10961	chr12	33.0	28.537	0.00039171	0.00022549	7.05e-06	0.00089505
ENSG00000273540	HGNC:26504	chr15	49.0	54.423	0.00039875	0.00022596	1.305e-05	0.00079305
ENSG00000151360	HGNC:17377	chr2	23.0	21.958	0.00044459	0.00022639	8.05e-06	0.00087705
ENSG00000174175	HGNC:10721	chr1	47.0	45.434	0.00041973	0.00022658	1.005e-05	0.00083905
ENSG00000111801	HGNC:1140	chr6	25.0	20.814	0.00068688	0.00022671	1.005e-05	0.00082105
ENSG00000180638	HGNC:26439	chr17	25.0	30.807	0.00031204	0.00022689	5.05e-06	0.00094205
ENSG00000203797	HGNC:2727	chr6	16.0	19.639	0.000338	0.00022722	4.05e-06	0.00099505
ENSG00000095110	HGNC:28527	chr11	16.0	12.19	0.00034405	0.00022807	6.05e-06	0.00092405
ENSG00000101203	HGNC:14670	chr20	62.0	63.624	0.00042087	0.00022813	1.005e-05	0.00083505
ENSG00000186976	HGNC:24204	chr22	71.0	74.725	0.00036461	0.00022826	1.705e-05	0.00076705
ENSG00000213512	HGNC:29606	chr1	24.0	28.665	0.00031465	0.00022863	6.05e-06	0.00094805
ENSG00000023839	HGNC:53	chr10	73.0	76.597	0.00043814	0.00022939	1.205e-05	0.00081005
ENSG00000133460	HGNC:14239	chr22	20.0	22.062	0.00041446	0.00023002	7.05e-06	0.00091505
ENSG00000166105	HGNC:25147	chr11	36.0	39.291	0.00031017	0.00023007	7.05e-06	0.00092905
ENSG00000168907	HGNC:27396	chr15	44.0	48.484	0.00032839	0.00023105	7.05e-06	0.00091405
ENSG00000148513	HGNC:17234	chr10	67.0	64.993	0.00083208	0.00023105	8.05e-06	0.00087905
ENSG00000186529	HGNC:2646	chr19	24.0	24.423	0.00039541	0.00023113	7.05e-06	0.00091405
ENSG00000080166	HGNC:2709	chr13	23.0	27.76	0.00045262	0.0002331	9.05e-06	0.00087705
ENSG00000184647	HGNC:30824	chr8	14.0	10.387	0.00043563	0.00023316	6.05e-06	0.00095705
ENSG00000249437	HGNC:7634	chr5	7.0	10.044	0.00028981	0.00023336	9.05e-06	0.00090305
ENSG00000162592	HGNC:26546	chr1	40.0	36.336	0.00050687	0.00023355	8.05e-06	0.00090405
ENSG00000198062	HGNC:133	chr22	15.0	13.591	0.00076438	0.00023398	7.05e-06	0.00092505
ENSG00000196344	HGNC:256	chr4	16.0	14.904	0.00030635	0.00023436	6.05e-06	0.00096505
ENSG00000163395	HGNC:24607	chr1	92.0	116.43	0.0003502	0.00023498	9.05e-06	0.00089505
ENSG00000184428	HGNC:29787	chr8	45.0	34.269	0.000588	0.0002355	1.305e-05	0.00082105
ENSG00000184465	HGNC:21248	chr6	34.0	50.752	0.00026546	0.00023696	7.05e-06	0.00094105
ENSG00000137225	HGNC:1478	chr6	39.0	44.268	0.00030749	0.00023717	1.205e-05	0.00087905
ENSG00000087076	HGNC:23238	chr19	16.0	15.824	0.00036569	0.00023738	7.05e-06	0.00095905
ENSG00000009724	HGNC:6902	chr1	24.0	29.462	0.00036462	0.00023784	9.05e-06	0.00092105
ENSG00000205649	HGNC:5284	chr4	6.0	4.8726	0.00077324	0.00023843	6.05e-06	0.00096705
ENSG00000141434	HGNC:7020	chr18	37.0	38.05	0.00046471	0.00023857	1.305e-05	0.00085305
ENSG00000181381	HGNC:26429	chr4	67.0	81.674	0.00045419	0.00023871	8.05e-06	0.00091805
ENSG00000124467	HGNC:9525	chr19	28.0	16.519	0.00040192	0.00023885	6.05e-06	0.00098705
ENSG00000182472	HGNC:13249	chr19	46.0	38.699	0.00044839	0.00023886	1.405e-05	0.00084105
ENSG00000137959	HGNC:17817	chr1	18.0	17.556	0.00043609	0.00023895	7.05e-06	0.00098205
ENSG00000137675	HGNC:14250	chr11	29.0	23.163	0.00039576	0.00023963	7.05e-06	0.00095205
ENSG00000173531	HGNC:7380	chr3	34.0	43.882	0.00041806	0.00023966	1.105e-05	0.00089605
ENSG00000227471	HGNC:37281	chr7	27.0	17.254	0.00046315	0.00024001	7.05e-06	0.00096105
ENSG00000113396	HGNC:11000	chr5	27.0	26.915	0.00033358	0.00024023	9.05e-06	0.00093305
ENSG00000167968	HGNC:2958	chr16	11.0	13.026	0.00040059	0.00024029	6.05e-06	0.00098505
ENSG00000112303	HGNC:12706	chr6	21.0	19.23	0.00040246	0.00024039	6.05e-06	0.00098605
ENSG00000185522	HGNC:28561	chr11	34.0	25.764	0.00065736	0.00024111	9.05e-06	0.00090905
ENSG00000150076	HGNC:26533	chr10	23.0	33.166	0.00080171	0.00024131	1.005e-05	0.00073605
ENSG00000188086	HGNC:30717	chr3	6.0	7.0898	0.00064991	0.00024227	6.05e-06	0.00098705
ENSG00000141179	HGNC:8752	chr17	16.0	14.296	0.00045294	0.00024242	8.05e-06	0.00095805
ENSG00000109511	HGNC:534	chr4	22.0	25.33	0.00040875	0.00024266	8.05e-06	0.00094905
ENSG00000170379	HGNC:26878	chr7	10.0	6.9146	0.00040995	0.00024285	7.05e-06	0.00097005
ENSG00000171174	HGNC:30325	chr2	13.0	13.451	0.00045954	0.00024296	1.005e-05	0.00093105
ENSG00000003400	HGNC:1500	chr2	19.0	21.658	0.00060919	0.00024308	9.05e-06	0.00093005
ENSG00000185873	HGNC:25398	chr4	25.0	19.695	0.00044466	0.00024359	7.05e-06	0.00098505
ENSG00000198203	HGNC:11456	chr2	16.0	18.192	0.00032342	0.00024402	6.05e-06	0.00101105
ENSG00000138068	HGNC:33433	chr2	24.0	14.139	0.00052099	0.00024427	7.05e-06	0.00098305
ENSG00000142623	HGNC:18367	chr1	26.0	31.766	0.00036672	0.00024435	6.05e-06	0.00099605
ENSG00000167280	HGNC:24622	chr17	37.0	36.426	0.00048056	0.00024442	1.405e-05	0.00086205
ENSG00000116032	HGNC:16768	chr19	14.0	22.387	0.00044949	0.00024507	8.05e-06	0.00098005
ENSG00000145244	HGNC:19012	chr4	53.0	54.064	0.00039639	0.0002455	1.705e-05	0.00083505
ENSG00000204614	HGNC:18736	chr6	14.0	11.123	0.00071874	0.00024653	7.05e-06	0.00097305
ENSG00000203837	HGNC:23492	chr10	19.0	23.531	0.00032028	0.00024662	6.05e-06	0.00100205
ENSG00000124568	HGNC:10929	chr6	24.0	24.589	0.00041976	0.00024664	7.05e-06	0.00099805
ENSG00000128536	HGNC:26308	chr7	37.0	38.242	0.00056294	0.00024666	8.05e-06	0.00096105
ENSG00000149124	HGNC:13734	chr11	11.0	10.264	0.00042376	0.00024701	5.05e-06	0.00105105
ENSG00000153347	HGNC:26335	chr5	20.0	25.506	0.00089862	0.00024701	1.305e-05	0.00086905
ENSG00000105609	HGNC:6609	chr19	33.0	30.879	0.00045058	0.00024712	8.05e-06	0.00096905
ENSG00000168619	HGNC:196	chr8	47.0	38.193	0.00054057	0.00024724	1.105e-05	0.00091905
ENSG00000153060	HGNC:26554	chr16	27.0	22.115	0.00040533	0.00024754	7.05e-06	0.00099505
ENSG00000145002	HGNC:32222	chr8	8.0	7.8445	0.0003437	0.00024782	3.05e-06	0.00110605
ENSG00000106384	HGNC:23249	chr7	17.0	15.231	0.00033929	0.0002481	5.05e-06	0.00106005
ENSG00000162994	HGNC:26453	chr2	31.0	30.862	0.00057972	0.00024845	1.105e-05	0.00092705
ENSG00000135220	HGNC:28528	chr4	22.0	20.501	0.00038268	0.00024853	7.05e-06	0.00101205
ENSG00000088926	HGNC:3529	chr4	37.0	33.679	0.0004666	0.00024888	9.05e-06	0.00094905
ENSG00000204361	HGNC:26331	chr11	14.0	17.262	0.00038505	0.00024895	6.05e-06	0.00102705
ENSG00000204941	HGNC:9522	chr19	27.0	18.215	0.00033903	0.00024901	5.05e-06	0.00103905
ENSG00000206177	HGNC:4826	chr16	3.0	4.1072	0.00099684	0.00024916	6.05e-06	0.00097205
ENSG00000102904	HGNC:18586	chr16	40.0	34.479	0.00042299	0.0002494	8.05e-06	0.00099105
ENSG00000176978	HGNC:14892	chr9	30.0	25.311	0.00041534	0.00024954	9.05e-06	0.00096805
ENSG00000063127	HGNC:13622	chr19	23.0	29.957	0.00035876	0.00024955	7.05e-06	0.00101505
ENSG00000153789	HGNC:24781	chr16	15.0	16.136	0.00040911	0.00024969	9.05e-06	0.00097205
ENSG00000149292	HGNC:23700	chr11	31.0	39.921	0.00035863	0.00024973	1.005e-05	0.00095605
ENSG00000197838	HGNC:2608	chr19	12.0	17.856	0.00044907	0.0002501	6.05e-06	0.00104405
ENSG00000151033	HGNC:29613	chr10	10.0	8.8446	0.00041757	0.0002505	5.05e-06	0.00109605
ENSG00000213759	HGNC:12545	chr4	22.0	19.68	0.00035053	0.00025058	6.05e-06	0.00105405
ENSG00000036565	HGNC:10934	chr8	29.0	24.794	0.00040909	0.00025115	1.105e-05	0.00094805
ENSG00000057149	HGNC:10569	chr18	20.0	14.714	0.00044944	0.00025142	6.05e-06	0.00104205
ENSG00000137274	HGNC:1094	chr6	11.0	13.48	0.00065989	0.00025168	1.305e-05	0.00089405
ENSG00000173401	HGNC:28392	chr12	10.0	11.653	0.00030011	0.00025195	4.05e-06	0.00105705
ENSG00000136059	HGNC:30906	chr3	39.0	46.676	0.00050595	0.00025196	1.705e-05	0.00086105
ENSG00000205517	HGNC:30282	chr19	46.0	43.529	0.00050741	0.00025196	1.305e-05	0.00090005
ENSG00000014257	HGNC:125	chr3	24.0	24.059	0.00037454	0.00025227	8.05e-06	0.00100005
