Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intrinsic Apoptotic Signaling Pathway (GO:0097193)	6/57	0.002692708480378676	0.15228377396452877	0	0	4.7178811823236755	27.91668296301827	BCL2L10;DDIT3;BCL2;GSKIP;PRODH;BOK
Regulation Of Secretion (GO:0051046)	3/12	0.002757963275093055	0.15228377396452877	0	0	13.302880658436214	78.39737192305707	PTPRN2;ERBB3;EGF
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	3/12	0.002757963275093055	0.15228377396452877	0	0	13.302880658436214	78.39737192305707	OAS1;STAT2;NLRC5
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003)	3/12	0.002757963275093055	0.15228377396452877	0	0	13.302880658436214	78.39737192305707	DDIT3;ATF6;NFE2L2
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	25/555	0.0027931538387198857	0.15228377396452877	0	0	1.926449578796985	11.32864840311861	CCNT2;MAX;NOTCH4;NLRC5;GLI1;BHLHE23;HOXC11;FSTL3;HELZ2;CYP27B1;HEY1;ABL1;PITX2;MAP2K5;EGR2;MYOCD;SMAD3;STAT2;TET1;TFDP1;TBL1XR1;DDIT3;ATF6;SSBP3;NFE2L2
Establishment Of Protein Localization To Membrane (GO:0090150)	5/40	0.00285150776833178	0.15228377396452877	0	0	5.7203119461183976	33.52049820655007	RTP5;MYO1C;RFTN1;RAB3GAP2;RAB3GAP1
Regulation Of Cell Death (GO:0010941)	5/40	0.00285150776833178	0.15228377396452877	0	0	5.7203119461183976	33.52049820655007	VPS4B;CHMP1A;HP;HPR;PRODH
DNA Damage Response (GO:0006974)	13/217	0.0028631417069384267	0.15228377396452877	0	0	2.5761231074708366	15.085353810070934	FBH1;MGMT;FANCA;TANK;BCL2L10;DDIT3;RFWD3;ABL1;BCL2;NABP2;SUSD6;TOPBP1;BOK
Nitrogen Compound Transport (GO:0071705)	8/98	0.002871852809256622	0.15228377396452877	0	0	3.573777777777778	20.91659899911146	SLC36A1;CUBN;SLC36A2;RAMP3;CHMP1A;LRRC8D;HSP90B1;RAB7A
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	12/194	0.0031632760664343767	0.16343593009910945	0	0	2.6623376623376624	15.324807103884712	ZNRF1;OS9;ZNRF4;CSNK1A1;TBL1XR1;DDIT3;VPS4B;CHMP1A;KLHL22;TNFAIP3;PJA2;NFE2L2
Proteasomal Protein Catabolic Process (GO:0010498)	9/123	0.00338149496892801	0.16872639446673623	0	0	3.177285318559557	18.076965822666402	ZNRF1;CSNK1A1;TBL1XR1;DDIT3;KLHL22;ATF6;PJA2;RNF41;NFE2L2
ERBB2-EGFR Signaling Pathway (GO:0038134)	2/4	0.003507295413898736	0.16872639446673623	0	0	39.827586206896555	225.14176336661185	EGF;ERBB2
Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)	4/26	0.0035168777010436336	0.16872639446673623	0	0	7.268226822682268	41.06680218317502	DDIT3;RTKN2;BCL2;BOK
Positive Regulation Of MAPK Cascade (GO:0043410)	12/198	0.003730358290953655	0.17480632456445616	0	0	2.604431410883024	14.562029713299182	CD74;RAMP3;CCL22;MUSK;DOK4;EGF;ERBB2;LPAR1;ADRA1D;ROR2;PRKCZ;MAP2K5
Defense Response To Gram-positive Bacterium (GO:0050830)	5/44	0.00434398245450583	0.19271253496096297	0	0	5.132340777502068	27.914615366428574	GBP6;GBP7;DROSHA;GBP2;GBP4
Ganglioside Metabolic Process (GO:0001573)	3/14	0.0043993928576696265	0.19271253496096297	0	0	10.882828282828283	59.05336851030716	NEU4;GM2A;B4GALNT1
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943)	3/14	0.0043993928576696265	0.19271253496096297	0	0	10.882828282828283	59.05336851030716	IPPK;ERBB2;MARS1
tRNA Aminoacylation For Protein Translation (GO:0006418)	4/28	0.004633997816769844	0.19297540103439126	0	0	6.661716171617162	35.80229654028382	EPRS1;LARS1;MARS1;IARS1
Positive Regulation Of Kinase Activity (GO:0033674)	6/64	0.004819589089677928	0.19297540103439126	0	0	4.14668039114771	22.12281607914848	CD74;MUSK;ERBB3;ERBB2;AGAP2;ROR2
Positive Regulation Of Cell Growth (GO:0030307)	6/65	0.005202189160800806	0.19297540103439126	0	0	4.076144700227675	21.435123286644263	SLC44A4;SYT1;ERBB2;BCL2;KLHL22;H3-3A
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	6/66	0.00560658354608353	0.19297540103439126	0	0	4.007960199004975	20.77651914307314	ADGRG1;RAMP3;UCN3;ADGRG5;ADRA1D;TSHR
Cellular Biogenic Amine Catabolic Process (GO:0042402)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	DMGDH;SMOX
Cellular Response To Laminar Fluid Shear Stress (GO:0071499)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	MAP2K5;NFE2L2
Response To Vitamin (GO:0033273)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	CYP27B1;CYP24A1
Response To Vitamin D (GO:0033280)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	CYP27B1;CYP24A1
Toll-Like Receptor 3 Signaling Pathway (GO:0034138)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	OAS1;RFTN1
Guanine Nucleotide Transmembrane Transport (GO:1903790)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	LRRC8C;LRRC8D
Hair Cell Differentiation (GO:0035315)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	PITX2;USH2A
Negative Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034316)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	DNAI3;GMFB
Negative Regulation Of Actin Nucleation (GO:0051126)	2/5	0.005750455731796051	0.19297540103439126	0	0	26.55008210180624	136.95796582335495	DNAI3;GMFB
Defense Response To Virus (GO:0051607)	9/134	0.005929053135459384	0.19297540103439126	0	0	2.8956992481203008	14.848829395986192	GBP7;MLKL;OAS1;MX2;STAT2;BCL2;NLRC5;GBP2;TANK
Negative Regulation Of Cell Projection Organization (GO:0031345)	4/30	0.005967705816175851	0.19297540103439126	0	0	6.148514851485149	31.488959142837487	MINAR1;LPAR1;CRMP1;ZNF365
Negative Regulation Of Neuron Projection Development (GO:0010977)	4/30	0.005967705816175851	0.19297540103439126	0	0	6.148514851485149	31.488959142837487	MINAR1;LPAR1;CRMP1;ZNF365
Positive Regulation Of Wnt Signaling Pathway (GO:0030177)	6/67	0.006033474077005782	0.19297540103439126	0	0	3.9420112551994126	20.14538165330053	TBL1XR1;EGF;LRRK1;GSKIP;TNFAIP3;SULF2
Positive Regulation Of DNA-templated Transcription (GO:0045893)	29/719	0.006398276889357828	0.20144574893837539	0	0	1.716867423807885	8.673144766402627	CCNT2;MAX;NOTCH4;NLRC5;GLI1;BHLHE23;HOXC11;FSTL3;HELZ2;CYP27B1;HEY1;ERBB2;ABL1;PITX2;MAP2K5;CD74;EGR2;MYOCD;SMARCC2;SMAD3;EGF;STAT2;TET1;TFDP1;TBL1XR1;DDIT3;ATF6;SSBP3;NFE2L2
Glycolipid Biosynthetic Process (GO:0009247)	4/31	0.006721086094458094	0.20616832651215167	0	0	5.92042537587092	29.61696060167974	PIGB;ST8SIA1;PIGM;GBGT1
Regulation Of Hydrolase Activity (GO:0051336)	5/49	0.006902779087544749	0.20616832651215167	0	0	4.547710354161967	22.62863898765586	ARHGAP9;TDG;CAMK2A;RAB3GAP2;RAB3GAP1
Positive Regulation Of Amide Metabolic Process (GO:0034250)	5/49	0.006902779087544749	0.20616832651215167	0	0	4.547710354161967	22.62863898765586	IFNGR1;ERBB2;SAMD4A;PASK;ABCG1
Response To Endoplasmic Reticulum Stress (GO:0034976)	6/69	0.006957541539864175	0.20616832651215167	0	0	3.816394219379294	18.959575876880386	OS9;DDIT3;BCL2;ATF6;EIF2S1;HSP90B1
Negative Regulation Of Signal Transduction (GO:0009968)	10/163	0.007167208712905706	0.20930326893485504	0	0	2.6306368443524812	12.990713462295888	HEY1;ERBB3;CSNK2A2;PALM;BCL2;TNFAIP3;PIP4K2C;PRKCZ;FSTL3;SULF2
Regulation Of Cell Growth (GO:0001558)	9/139	0.0074881895289428	0.21373428679477763	0	0	2.783458646616541	13.623438574543115	MINAR1;CYP27B1;SLC44A4;SMAD3;ERBB2;BCL2;KLHL22;CGRRF1;H3-3A
Regulation Of Autophagosome Assembly (GO:2000785)	3/17	0.007781518117968432	0.21373428679477763	0	0	8.549206349206349	41.51497876651277	RAB3GAP2;PIP4K2C;RAB3GAP1
Cellular Response To Cytokine Stimulus (GO:0071345)	11/193	0.00840970114003564	0.21373428679477763	0	0	2.434328895286074	11.632122561313924	GBP6;CCL22;EPRS1;OAS1;CAMK2A;OSMR;GBP2;TANK;GBP4;JAK1;NFE2L2
Glycoprotein Metabolic Process (GO:0009100)	4/33	0.008410819835270653	0.21373428679477763	0	0	5.511437350631615	26.334950159262625	NEU4;MAN2A1;ST8SIA1;GAL3ST2
Regulation Of Intracellular Signal Transduction (GO:1902531)	10/167	0.008441321676173381	0.21373428679477763	0	0	2.5629741061997886	12.237218164179005	TIAM2;ARHGAP9;SYDE2;PLEKHG1;GBP7;PHLPP1;ARHGEF25;WWC2;PJA2;RNF41
Alanine Transport (GO:0032328)	2/6	0.008485728507981245	0.21373428679477763	0	0	19.911330049261085	94.96449075201593	SLC36A1;SLC36A2
Synaptic Vesicle Transport (GO:0048489)	2/6	0.008485728507981245	0.21373428679477763	0	0	19.911330049261085	94.96449075201593	KIF5A;RAB27A
Glycosphingolipid Catabolic Process (GO:0046479)	2/6	0.008485728507981245	0.21373428679477763	0	0	19.911330049261085	94.96449075201593	NEU4;GM2A
Negative Regulation Of Exocytosis (GO:0045920)	2/6	0.008485728507981245	0.21373428679477763	0	0	19.911330049261085	94.96449075201593	VPS4B;RAB7A
Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902237)	2/6	0.008485728507981245	0.21373428679477763	0	0	19.911330049261085	94.96449075201593	DDIT3;BOK
Positive Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901838)	2/6	0.008485728507981245	0.21373428679477763	0	0	19.911330049261085	94.96449075201593	IPPK;MARS1
Wound Healing (GO:0042060)	5/52	0.008862510629416178	0.21411411638938857	0	0	4.256639037009662	20.116557640183704	SMAD3;ERBB3;VPS4B;CHMP1A;ERBB2
Proteolysis Involved In Protein Catabolic Process (GO:0051603)	5/52	0.008862510629416178	0.21411411638938857	0	0	4.256639037009662	20.116557640183704	VPS4B;LONP1;TNFAIP3;CEL;RNF41
Positive Regulation Of Protein Modification Process (GO:0031401)	9/143	0.00894656202921334	0.21411411638938857	0	0	2.699697003703288	12.733082990751255	CD74;ANKLE2;MUSK;SLCO3A1;FBH1;PPP1R7;ERBB2;RAB3GAP2;RAB3GAP1
Phosphatidylinositol 3-Kinase Signaling (GO:0014065)	3/18	0.009169676112449156	0.21411411638938857	0	0	7.978765432098766	37.43519703167717	ERBB3;ERBB2;MYO16
Positive Regulation Of Exocytosis (GO:0045921)	3/18	0.009169676112449156	0.21411411638938857	0	0	7.978765432098766	37.43519703167717	VPS4B;RAB27A;RAB7A
Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	8/119	0.009193199009635812	0.21411411638938857	0	0	2.893873873873874	13.570217598521053	CD74;RAMP3;CCL22;MUSK;ADRA1D;ROR2;TNFRSF11A;PRKCZ
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	4/34	0.009350889450256175	0.21411411638938857	0	0	5.327392739273927	24.89109085500388	TFDP1;CDK4;CAMK2A;POLE
Regulation Of Cellular Catabolic Process (GO:0031329)	4/34	0.009350889450256175	0.21411411638938857	0	0	5.327392739273927	24.89109085500388	DDIT3;ABL1;PIP4K2C;BOK
Sensory Perception Of Light Stimulus (GO:0050953)	5/53	0.009593030697492573	0.21719052646570264	0	0	4.167700578990901	19.36613102094564	BBS2;KIFC3;ATF6;USH2A;CNGB1
Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	9/146	0.010174412786065188	0.21875577105130897	0	0	2.6400856154986005	12.1123940419823	MYOCD;SMAD3;TFDP1;SLCO3A1;DDIT3;RTKN2;CAMK2A;TNFRSF11A;PRKCZ
Cellular Response To Chemical Stress (GO:0062197)	5/54	0.010363917875589507	0.21875577105130897	0	0	4.082392262115764	18.654185018684654	LONP1;ABL1;LRRC8D;EIF2S1;NFE2L2
Regulation Of Centrosome Duplication (GO:0010824)	3/19	0.01069316607137515	0.21875577105130897	0	0	7.479629629629629	33.943684393605565	CEP295NL;VPS4B;CHMP1A
Apoptotic Mitochondrial Changes (GO:0008637)	3/19	0.01069316607137515	0.21875577105130897	0	0	7.479629629629629	33.943684393605565	CAMK2A;BCL2;BOK
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	10/174	0.011081559760433592	0.21875577105130897	0	0	2.4525064346120846	11.042343599425681	ZNRF1;OS9;CSNK1A1;TBL1XR1;DDIT3;JKAMP;KLHL22;PJA2;HSP90B1;NFE2L2
Regulation Of Protein Lipidation (GO:1903059)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	RAB3GAP2;RAB3GAP1
Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034135)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	TNFAIP3;PJA2
Cyclic Nucleotide Transport (GO:0070729)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	LRRC8C;LRRC8D
Synaptic Vesicle Localization (GO:0097479)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	KIF5A;RAB27A
Transcription By RNA Polymerase I (GO:0006360)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	TAF1B;TCOF1
Type II Interferon-Mediated Signaling Pathway (GO:0060333)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	IFNGR1;JAK1
Vitamin D Metabolic Process (GO:0042359)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	CYP27B1;CYP24A1
Lysosomal Microautophagy (GO:0016237)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	ATG4B;ATG2B
Negative Regulation Of Amyloid-Beta Clearance (GO:1900222)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	MYOCD;IFNGR1
Organic Hydroxy Compound Catabolic Process (GO:1901616)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	CYP24A1;LDHD
Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900103)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	ATF6;BOK
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Endoplasmic Reticulum Stress (GO:1990440)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	DDIT3;ATF6
Protein Hexamerization (GO:0034214)	2/7	0.011687655006497035	0.21875577105130897	0	0	15.92807881773399	70.86756063470797	LRRC8C;LRRC8D
Protein Autophosphorylation (GO:0046777)	7/100	0.0117248750737178	0.21875577105130897	0	0	3.018073096827823	13.418481616961445	EEF2K;MUSK;CAMK2A;ERBB2;ABL1;MAP3K20;PASK
Mitotic Sister Chromatid Segregation (GO:0000070)	5/56	0.012030773591940163	0.22226620759061733	0	0	3.9218119009390358	17.335535910631858	DCTN2;VPS4B;NCAPG2;CHMP1A;KLHL22
Glycosphingolipid Metabolic Process (GO:0006687)	3/20	0.01235425074449089	0.22226620759061733	0	0	7.03921568627451	30.928589718025744	GM2A;ST8SIA1;B4GALNT1
Membrane Assembly (GO:0071709)	3/20	0.01235425074449089	0.22226620759061733	0	0	7.03921568627451	30.928589718025744	VPS4B;CHMP1A;RFTN1
Negative Regulation Of Transport (GO:0051051)	3/20	0.01235425074449089	0.22226620759061733	0	0	7.03921568627451	30.928589718025744	ERBB3;EGF;RAB7A
Phosphorylation (GO:0016310)	13/260	0.012492352977714399	0.22276186946986296	0	0	2.121918720852765	9.299602857398362	GMFB;CSNK1A1;CSNK2A2;LRRK1;CAMK2A;PASK;PRKCZ;GNPTAB;CDK4;ERBB2;ABL1;MAP3K20;JAK1
Response To Cytokine (GO:0034097)	6/79	0.01316157103383076	0.23228141397401558	0	0	3.291555919034962	14.253931432412292	CYP27B1;CD74;MX2;BCL2;TNFRSF11A;OSMR
Interferon-Mediated Signaling Pathway (GO:0140888)	4/38	0.013785072553546204	0.23228141397401558	0	0	4.699475829935935	20.13334853196697	IFNGR1;STAT2;TANK;JAK1
Neuron Projection Guidance (GO:0097485)	6/80	0.013942909384212889	0.23228141397401558	0	0	3.2468737394110527	13.873190773560928	ROBO2;ENAH;SEMA5B;ARHGEF25;KIF5A;NRXN3
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	9/154	0.014068142449109686	0.23228141397401558	0	0	2.493181228934405	10.630531931219695	MINAR1;PHLPP1;MYO1C;DDIT3;RTKN2;WWC2;BCL2;TNFAIP3;TANK
Regulation Of Protein Dephosphorylation (GO:0035304)	3/21	0.014154762986474305	0.23228141397401558	0	0	6.647736625514403	28.304095517512156	ANKLE2;PPP1R7;HSP90B1
DNA Repair (GO:0006281)	9/155	0.014622904480621222	0.23228141397401558	0	0	2.4759501493459677	10.461300833160866	FBH1;ERCC6L2;MGMT;RFWD3;TDG;FANCA;NABP2;TOPBP1;POLE
Chemical Synaptic Transmission (GO:0007268)	9/155	0.014622904480621222	0.23228141397401558	0	0	2.4759501493459677	10.461300833160866	UNC13C;PTPRN2;SYT1;RPS6KA2;KIF5A;GRIK3;AMPH;PDE7B;GABRD
Response To Ionizing Radiation (GO:0010212)	4/39	0.01506958394755414	0.23228141397401558	0	0	4.564922206506365	19.150199583398173	RFWD3;NABP2;TOPBP1;TANK
Negative Regulation Of Response To Stimulus (GO:0048585)	4/39	0.01506958394755414	0.23228141397401558	0	0	4.564922206506365	19.150199583398173	ERBB3;ALOX5;PDCD1;MAP2K5
Regulation Of Cellular Response To Oxidative Stress (GO:1900407)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	ALOX5;NFE2L2
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902165)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	CD74;BCL2
Cellular Response To Fluid Shear Stress (GO:0071498)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	MAP2K5;NFE2L2
Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	DDIT3;NFE2L2
Response To Laminar Fluid Shear Stress (GO:0034616)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	MAP2K5;NFE2L2
Smooth Muscle Cell Differentiation (GO:0051145)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	MYOCD;HEY1
Establishment Of Vesicle Localization (GO:0051650)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	KIF5A;RAB27A
Glycine Transport (GO:0015816)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	SLC36A1;SLC36A2
Membrane Raft Organization (GO:0031579)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	FA2H;RFTN1
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902166)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	CD74;BCL2
Primary miRNA Processing (GO:0031053)	2/8	0.015331726083644701	0.23228141397401558	0	0	13.272577996715928	55.450587768590324	SMAD3;DROSHA
Protein Phosphorylation (GO:0006468)	14/297	0.015649109242297274	0.235320560621112	0	0	1.9949956054599918	8.293877586074062	GMFB;MUSK;CSNK1A1;CSNK2A2;LRRK1;CAMK2A;PASK;PRKCZ;EEF2K;CDK4;ERBB2;ABL1;MAP3K20;JAK1
Glycolipid Metabolic Process (GO:0006664)	3/22	0.01609613120363723	0.239752254269101	0	0	6.297465886939571	26.003347103129066	GM2A;B4GALNT1;GBGT1
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	15/328	0.01621227811453338	0.239752254269101	0	0	1.9338828866180524	7.971438987820554	CD74;RAMP3;MUSK;EGF;RTKN2;LPAR1;ADRA1D;MYO1C;DOK4;ERBB3;DDIT3;LARS1;ERBB2;ROR2;BOK
Positive Regulation Of Cell Death (GO:0010942)	4/40	0.016427150783929995	0.239752254269101	0	0	4.437843784378438	18.23430031042087	HP;MAP3K20;HPR;PRODH
